outcome,bidder_id,payment_account,address
1,8bf07d8631a2808f2c869e27afad2d41swgkd,d3b5ec1bba87fdb7c329d5ae977ef4298nh14,7379e5375b4290547fc1285c1db12169cxc8k
0,53d9e7fa087a0dab6a472bfbfb694622jv072,a3d2de7675556553a5f08e4c88d2c228kuy6r,a3d2de7675556553a5f08e4c88d2c228sl115
1,86e888c2dafacf13580a1211abf50961w6foa,af534356af7f7602c9ab15b1c161a1b5co7tn,7b778fdd1e455c37ecea425f39b68680ea7rv
1,b34fe965c04012fd22123ed948257184pqvfg,a3d2de7675556553a5f08e4c88d2c228eqiew,270a9d13178693751b9e3cce3d7d425ajbx30
1,b46132a554a2a3b93efc5a9352036e6crl6sk,2a3feaa9a01b36fdc3393a8347b0844dy3jlr,e35f11bb4e5882069f7dc3765e41016760s50
1,d9b611dab3b5116f761747fd3166ecec80icg,a3d2de7675556553a5f08e4c88d2c228ed8ir,91ea8f05b2be1f7fe36e86e20ea351050i8oi
0,14e29ea004067aace14ee4543876a06365os8,713f501d38e7bb93e2754a7717ef3278i982a,3f4a8f4df5b2596cf9d3e41977bd0a511c1tb
0,cab0d4e41ea81636de3bd3a1800d8da8x4yca,58f127a97843312f5f9c5c7f3e824a90vv016,2fc0c77348b8b62e4d0f522af77a1effv6gfs
0,693085cbb28f505f03b025dac8681a3bvfot8,a1f85275793c4a782f0a668711f41b929v08f,a5525340b4d1511267da9fd7f3c0005fvbiry
1,4c67576a6f30a158d16d790a7fc482b0zqxue,a3d2de7675556553a5f08e4c88d2c2281hh9j,ca8d4b018cb62966eebb2974f5a83b4fbrw60
0,f46cfa9acdb6a4c419c70c19be4ff9523uixs,74f24e2767de1c753beefa64ee453363tjh51,7aa706ccb73817a81b746a89da7a44c7ul20k
0,a15766d8d3d231f862996eb3ec33559735a3d,dd06ccc6744f98c7aca11308e45f4b9aqgojn,17b5976cc8586a900fb9fbb980315495nmhf1
0,2f9a7b01fcce94499a59aebfac98fe1ezsk1y,e401fb6e8e22d92e9c6d5c12391a5ebcpsu02,411095e399c0f8c2185db1fa10d3daabsf9gf
1,15972a431aed117840dfce5556242366c3fwq,4b5c8f52a678e51ebe0ee3fc26da66902e2l7,865e5987e0c8fc7f6301b5571d688d13pu5j1
1,e24542c1bd46a4a0f98b0fa95d8fc40brecdx,760fd929ebbf308f7019fe62abf250268ttvi,bd813a3239ad2bf9d553ed1c143edca7i2f8h
0,a7c910e7c7796d979aa9a7a31d74a8eaqsapx,a3d2de7675556553a5f08e4c88d2c228bk9ep,ace76d016b1f1fd412bd2bf7a172655dljbc5
0,6e29de28296a57f039026ffc6df9145cxo2n0,b34e1d6bece108130a0f572d6e820b06y60ns,5a51c55a3bf36d8519aa58a24ead8457gp6a4
0,7f603f668968facebb0567015ad4c201kikrh,a3d2de7675556553a5f08e4c88d2c228e5jvk,a3d2de7675556553a5f08e4c88d2c228x6h0g
0,66513f72be85596a527f9f653db3cb72cq4jg,ffa7805c0fce807ac9c1fa97d51399fbao2u1,7ae6535dea3d4bdde3f5136f3cbb25d38rxel
0,cad151bdf2e29b764dfd3acac022e5dcy8n83,5e7a2475f4ca6ef670ef8f050939876famwho,03951fdafa0d250fb7ee5ee43b0bba56e3xn4
0,dfb23124fba16b7778f65c1c8d091f949jz0k,4c94a221dc03977b5bf3f2035379797cn4n58,65d747de6c1cca49af4c0c27a5b7e8c7tti5y
0,48044b1b1f47f168864bc7c4a58a65ecmt187,8df05333932aa3a14eee34d0fa506d9eugo91,4a7f6e4f6ca995dbe70c222e34371374wwdu3
0,8254276e772450c5365707cde76efa4cwuzpd,647c7534deb2d32ee9a0cee74aefce14ixmdk,50307bf83176a9359c333d4d924b0545toaf9
1,d863897264a7e52d9c6a1be6dc453c6c9anz0,a3d2de7675556553a5f08e4c88d2c228c8f1n,2d4d6e7cc464d4b316370e4114a4326a4ffu3
0,e5fd2ebbf5bac9ddc73ce524e1b33c3akti0q,efdb628f6fa6fe4a8e2de46d23a5d16f7o3u5,4515b484338e685988bd78f93693e55cq5hz6
0,c503bb79d4f3522f51d348c680906c1bs0w7z,a3d2de7675556553a5f08e4c88d2c228a8v2w,70c9dd3bf2c51567ff190de5d9c8ecb1setlr
1,c72012c8072e2441b3ba8173205cd298cde8a,91ae3077e1c8f38fdbbac9480eebecdfp9in2,76d1cd16f57eef6cc1379258b365e1a00qlhn
0,06c281e31f83dcfd3fe70d2ee2d66bc7e6fw6,a3d2de7675556553a5f08e4c88d2c228tnny7,9e3337c9a8e089da8e8ffbe7a9bf76a6b8c96
0,6b3cff1e3d9398d4c125e7bcf612192dy1gwn,eb13250d634800efb8c259b3e6165602nm0xn,4819be3ba5964012078590a18a176c034cy3c
0,c1d14f4355b7d3ef80f02628e5ef1d56u2510,6928b2067c13cbab3841fb212f549badsad9i,708e4565f7da7a7c6602b3822e9cea88q2yx9
0,a22fdc066a738070c6e4860924d06657hengu,82eb4cc834e4a54966cface1db3743e3e6n3r,a4b537419b53270759680e72232caeb9jnqc1
0,dc87cba6dc8717e219e9fa9edcd10ae4a2i86,72ba7ad314adbc777d11b3a791a2685eikrtj,e29f63b714341388a1e5faacc11234e58gdq6
0,8473148f069a890b7323fe8316861a71qoxv1,a3d2de7675556553a5f08e4c88d2c228pr899,4a4310b2909bbecd9372bac018a5c6adrbxa7
1,7b31d9d8b5e749cdd2c300cbcbb5f875kjlsz,ebf462c4467717ab00122916e1cde7a0m2qe5,eab8700fadb60099a2e0cdd62eeb902es2wl7
0,8c2bdb9dd878a811701838002627a056be0ce,c6e86e9ab84a5999fcffcffddd4f0e01lvgse,7b3c44cbf3b1d10e971cb657b40f73b36eipa
